Record_ID,Created_Date,Qualified_Date,Closed_Date,Revenue,Region,Segment,Opportunity_Source,Outbound
a734U000000tHwIQAU,11/30/2021,1/19/2022,1/3/2022,89,Europe,SMB,Trial,FALSE
a734U000000t2ltQAA,10/21/2021,1/3/2022,1/3/2022,89,Australia Pacific,SMB,Trial,FALSE
a734U000000tF0bQAE,11/22/2021,1/31/2022,1/3/2022,89,North America,Agency,Trial,FALSE
a734U000000tP6tQAE,11/29/2021,12/3/2021,1/4/2022,1462.85,North America,SMB,Lead,FALSE
a734U000000tDCkQAM,10/22/2021,10/25/2021,1/4/2022,796,North America,SMB,Lead,FALSE
a734U000000tUGKQA2,1/3/2022,1/3/2022,1/4/2022,778.38,North America,SMB,Self-Gen,TRUE
a734U000000tJfOQAU,12/3/2021,12/16/2021,1/4/2022,558,North America,SMB,Trial,FALSE
a734U000000tTmeQAE,12/15/2021,12/20/2021,1/4/2022,549,North America,Agency,Lead,FALSE
a734U000000tFHmQAM,11/23/2021,1/3/2022,1/4/2022,522,Asia,SMB,Trial,FALSE
a734U000000tMhDQAU,12/11/2021,12/15/2021,1/4/2022,507,North America,Mid,Trial,FALSE
a734U000000tJL9QAM,12/3/2021,12/9/2021,1/4/2022,473.99,Australia Pacific,Agency,Trial,FALSE
a734U000000tIrsQAE,12/1/2021,1/4/2022,1/4/2022,297,Australia Pacific,SMB,Trial,FALSE
a734U000000stYHQAY,9/29/2021,1/4/2022,1/4/2022,279,Europe,Mid,Trial,FALSE
a734U000000tPiEQAU,12/20/2021,5/27/2022,1/4/2022,169,Europe,SMB,Lead,FALSE
a734U000000tK8pQAE,12/5/2021,12/8/2021,1/4/2022,169,North America,Agency,Trial,FALSE
a734U000000tIIdQAM,11/30/2021,1/4/2022,1/4/2022,169,North America,Mid,Trial,FALSE
a734U000000tK7mQAE,12/5/2021,12/6/2021,1/4/2022,169,North America,Mid,Trial,FALSE
a734U000000t8msQAA,11/6/2021,11/8/2021,1/4/2022,169,North America,SMB,Trial,FALSE
a734U000000tIe0QAE,10/25/2021,10/27/2021,1/4/2022,149,North America,Mid,Lead,FALSE
a734U000000tUDaQAM,8/24/2021,8/31/2021,1/4/2022,119.2,North America,SMB,Lead,FALSE
a734U000000tIx2QAE,12/2/2021,12/2/2021,1/4/2022,99,Australia Pacific,SMB,Trial,FALSE
a734U000000tCjJQAU,11/16/2021,1/4/2022,1/4/2022,99,North America,SMB,Trial,FALSE
a734U000000tIcEQAU,1/4/2022,1/4/2022,1/4/2022,99,North America,SMB,Trial,FALSE
a734U000000tKBZQA2,12/5/2021,1/4/2022,1/4/2022,99,North America,SMB,Trial,FALSE
a734U000000tIhiQAE,12/1/2021,1/5/2022,1/4/2022,99,North America,SMB,Trial,FALSE
a734U000000tJWlQAM,12/3/2021,12/30/2021,1/4/2022,89,North America,SMB,Trial,FALSE
a734U000000tKTJQA2,8/24/2021,9/10/2021,1/4/2022,89,North America,SMB,Lead,FALSE
a734U000000tTHgQAM,10/13/2021,10/20/2021,1/5/2022,4591.72,North America,Mid,BDR,TRUE
a734U000000tUBKQA2,10/26/2021,10/27/2021,1/5/2022,1370.08,North America,Mid,Lead,FALSE
a734U000000tKTEQA2,12/6/2021,1/5/2022,1/5/2022,747,North America,Agency,Trial,FALSE
a734U000000tKGyQAM,12/6/2021,1/7/2022,1/5/2022,663,North America,Agency,Trial,FALSE
a734U000000tQdKQAU,12/10/2021,12/14/2021,1/5/2022,399,North America,SMB,Lead,FALSE
a734U000000t69oQAA,10/30/2021,1/5/2022,1/5/2022,338,Africa,SMB,Trial,FALSE
a734U000000tKdOQAU,12/6/2021,12/29/2021,1/5/2022,338,North America,Mid,Trial,FALSE
a734U000000tG1fQAE,11/24/2021,12/1/2021,1/5/2022,287.31,North America,SMB,Trial,FALSE
a734U000000tFBFQA2,11/4/2021,11/9/2021,1/5/2022,269,North America,Agency,Lead,FALSE
a734U000000tKQ0QAM,12/6/2021,12/10/2021,1/5/2022,238.4,North America,Mid,Trial,FALSE
a734U000000tKWhQAM,12/6/2021,12/27/2021,1/5/2022,178,North America,Mid,Trial,FALSE
a734U000000tKWNQA2,12/6/2021,12/13/2021,1/5/2022,169,North America,SMB,Trial,FALSE
a734U000000tOYXQA2,11/17/2021,11/23/2021,1/5/2022,169,Europe,Mid,Lead,FALSE
a734U000000tKSGQA2,12/6/2021,12/14/2021,1/5/2022,169,North America,SMB,Trial,FALSE
a734U000000tKcBQAU,12/6/2021,12/7/2021,1/5/2022,169,North America,SMB,Trial,FALSE
a734U000000tKWIQA2,12/6/2021,1/19/2022,1/5/2022,169,North America,SMB,Trial,FALSE
a734U000000tKWmQAM,12/6/2021,12/7/2021,1/5/2022,169,North America,Mid,Trial,FALSE
a734U000000tKddQAE,12/6/2021,1/5/2022,1/5/2022,169,North America,Agency,Trial,FALSE
a734U000000tKPlQAM,12/6/2021,1/5/2022,1/5/2022,169,Europe,Agency,Trial,FALSE
a734U000000tKXGQA2,12/6/2021,2/2/2022,1/5/2022,169,North America,Mid,Trial,FALSE
a734U000000tKVFQA2,12/6/2021,12/9/2021,1/5/2022,169,Europe,SMB,Trial,FALSE
a734U000000tEQYQA2,11/20/2021,12/8/2021,1/5/2022,149,Latin America,Mid,Trial,FALSE
a734U000000tKJEQA2,12/6/2021,1/21/2022,1/5/2022,149,Europe,Enterprise,BDR,TRUE
a734U000000tUMcQAM,12/14/2021,12/14/2021,1/5/2022,149,North America,SMB,BDR,TRUE
a734U000000tKIGQA2,12/6/2021,1/4/2022,1/5/2022,99,Africa,Mid,Trial,FALSE
a734U000000tKZlQAM,12/6/2021,1/5/2022,1/5/2022,99,North America,Agency,Trial,FALSE
a734U000000tJFLQA2,12/2/2021,1/5/2022,1/5/2022,99,North America,Mid,Trial,FALSE
a734U000000tKYYQA2,12/6/2021,1/20/2022,1/5/2022,89,North America,SMB,Trial,FALSE
a734U000000tJhUQAU,12/3/2021,1/4/2022,1/5/2022,89,North America,SMB,Trial,FALSE
a734U000000tTshQAE,12/3/2021,12/8/2021,1/5/2022,84.15,North America,SMB,Lead,FALSE
a734U000000t9S0QAI,11/8/2021,11/18/2021,1/6/2022,996.44,North America,Mid,Trial,FALSE
a734U000000tUJ4QAM,12/7/2021,12/10/2021,1/6/2022,451.5,North America,Mid,Lead,FALSE
a734U000000tKzZQAU,12/7/2021,1/19/2022,1/6/2022,447,North America,SMB,Trial,FALSE
a734U00000110eWQAQ,2/1/2021,2/24/2021,1/6/2022,418,North America,SMB,Lead,FALSE
a734U000000tV5hQAE,12/8/2021,12/13/2021,1/6/2022,399,Europe,Agency,Lead,FALSE
a734U000000tUiEQAU,12/21/2021,1/5/2022,1/6/2022,298,Europe,Mid,Self-Gen,TRUE
a734U000000tKixQAE,12/7/2021,1/20/2022,1/6/2022,279,North America,Agency,Trial,FALSE
a734U000000tKywQAE,12/7/2021,12/15/2021,1/6/2022,249,North America,SMB,Trial,FALSE
a734U000000tL1kQAE,12/7/2021,1/20/2022,1/6/2022,169,North America,SMB,Trial,FALSE
a734U000000tKsOQAU,12/7/2021,12/7/2021,1/6/2022,169,Europe,SMB,Trial,FALSE
a734U000000sephQAA,8/24/2021,10/8/2021,1/6/2022,169,North America,Mid,Trial,FALSE
a734U000000tIXiQAM,12/1/2021,1/4/2022,1/6/2022,169,Europe,SMB,Trial,FALSE
a734U000000tL6fQAE,12/7/2021,12/7/2021,1/6/2022,151.3,North America,SMB,Trial,FALSE
a734U000000tKhpQAE,12/7/2021,12/7/2021,1/6/2022,149,North America,Mid,Trial,FALSE
a734U000000tU0qQAE,1/4/2022,1/5/2022,1/6/2022,149,Europe,SMB,Trial,FALSE
a734U000000tLUNQA2,8/11/2021,8/17/2021,1/6/2022,149,Europe,SMB,Lead,FALSE
a734U000000tUDpQAM,1/4/2022,1/4/2022,1/6/2022,135,North America,SMB,Lead,FALSE
a734U000000tL79QAE,12/7/2021,1/24/2022,1/6/2022,99,North America,SMB,Trial,FALSE
a734U000000tHYaQAM,11/29/2021,1/4/2022,1/6/2022,99,North America,Mid,Trial,FALSE
a734U000000tKx9QAE,12/7/2021,1/5/2022,1/6/2022,99,Europe,SMB,Trial,FALSE
a734U000000tJAQQA2,12/2/2021,1/31/2022,1/6/2022,99,North America,SMB,Trial,FALSE
a734U000000tL6uQAE,12/7/2021,12/28/2021,1/6/2022,99,North America,SMB,Trial,FALSE
a734U000000tL0XQAU,12/7/2021,12/7/2021,1/6/2022,99,North America,Agency,Trial,FALSE
a734U000001662EQAQ,5/14/2021,6/2/2021,1/6/2022,99,North America,Mid,Trial,FALSE
a734U000000tL24QAE,12/7/2021,12/10/2021,1/6/2022,89,North America,SMB,Trial,FALSE
a734U000000tKeRQAU,12/7/2021,12/29/2021,1/6/2022,89,North America,SMB,Trial,FALSE
a734U000000tLorQAE,12/9/2021,12/20/2021,1/6/2022,89,Asia,Agency,Trial,FALSE
a734U000000tVp6QAE,9/7/2021,9/8/2021,1/7/2022,7164.68,North America,Mid,Lead,FALSE
a734U000000tVm7QAE,1/7/2022,1/7/2022,1/7/2022,1419,North America,Mid,Trial,FALSE
a734U000000t7mrQAA,11/3/2021,11/11/2021,1/7/2022,800,North America,Mid,Trial,FALSE
a734U000000tLdyQAE,12/8/2021,12/16/2021,1/7/2022,701,North America,SMB,Trial,FALSE
a734U000000tMTVQA2,12/13/2021,12/16/2021,1/7/2022,610.89,North America,Agency,Lead,FALSE
a734U000000tSlzQAE,12/30/2021,1/5/2022,1/7/2022,399,North America,Agency,Trial,FALSE
a734U000000tLY5QAM,12/8/2021,1/27/2022,1/7/2022,249,North America,Mid,Trial,FALSE
a734U000000tLVaQAM,12/8/2021,12/9/2021,1/7/2022,198,Europe,Agency,Trial,FALSE
a734U000000tPeMQAU,12/20/2021,12/21/2021,1/7/2022,179,North America,Agency,Trial,FALSE
a734U000000tLdFQAU,12/8/2021,12/20/2021,1/7/2022,169,North America,Mid,Trial,FALSE
a734U000000tLMxQAM,12/8/2021,1/5/2022,1/7/2022,169,Europe,SMB,Trial,FALSE
a734U000000tLWJQA2,12/3/2021,12/10/2021,1/7/2022,169,North America,Agency,Lead,FALSE
a734U000000sw9KQAQ,9/2/2021,9/2/2021,1/7/2022,169,North America,SMB,Lead,FALSE
a734U000000tLewQAE,12/8/2021,12/9/2021,1/7/2022,169,North America,Agency,Trial,FALSE
a734U000000tLYyQAM,12/8/2021,1/6/2022,1/7/2022,169,North America,SMB,Trial,FALSE
a734U000000tLQfQAM,12/8/2021,12/16/2021,1/7/2022,169,Europe,SMB,Trial,FALSE
a734U000000tLZrQAM,12/8/2021,1/20/2022,1/7/2022,169,North America,Agency,Trial,FALSE
a734U000000tKXuQAM,12/6/2021,12/8/2021,1/7/2022,149,North America,SMB,Trial,FALSE
a734U000000tLROQA2,12/8/2021,1/4/2022,1/7/2022,149,Europe,Mid,Trial,FALSE
a734U000000tLfaQAE,12/8/2021,1/31/2022,1/7/2022,149,North America,SMB,Trial,FALSE
a734U000000tLXbQAM,12/8/2021,12/29/2021,1/7/2022,135.19,North America,Mid,Trial,FALSE
a734U000000tLZhQAM,12/8/2021,12/15/2021,1/7/2022,134.83,North America,SMB,Trial,FALSE
a734U000000tLWOQA2,12/8/2021,1/4/2022,1/7/2022,99,North America,SMB,Trial,FALSE
a734U000000tLBaQAM,12/8/2021,1/24/2022,1/7/2022,99,North America,SMB,Trial,FALSE
a734U000000tLMiQAM,12/8/2021,1/5/2022,1/7/2022,99,Middle East,SMB,Trial,FALSE
a734U000000tK7rQAE,12/5/2021,1/7/2022,1/7/2022,99,North America,Agency,Trial,FALSE
a734U000000tKU7QAM,12/6/2021,1/28/2022,1/7/2022,89,North America,SMB,Trial,FALSE
a734U000000t8slQAA,11/6/2021,1/26/2022,1/8/2022,169,Asia,SMB,Trial,FALSE
a734U000000tLkkQAE,12/9/2021,12/15/2021,1/8/2022,169,Asia,Agency,Trial,FALSE
a734U000000tLDlQAM,12/8/2021,12/21/2021,1/8/2022,149,North America,SMB,Trial,FALSE
a734U000000tF7cQAE,11/22/2021,12/2/2021,1/8/2022,149,North America,SMB,Trial,FALSE
a734U000000tLtDQAU,12/9/2021,1/7/2022,1/8/2022,149,Europe,Mid,Trial,FALSE
a734U000000tLupQAE,12/9/2021,1/4/2022,1/8/2022,134.09,North America,Mid,Trial,FALSE
a734U000000tM0YQAU,12/9/2021,1/28/2022,1/8/2022,99,Europe,Agency,Trial,FALSE
a734U000000tM2KQAU,12/9/2021,1/28/2022,1/8/2022,99,North America,SMB,Trial,FALSE
a734U000000t8RLQAY,11/2/2021,11/4/2021,1/8/2022,84.15,North America,SMB,Lead,FALSE
a734U000000tREQQA2,12/9/2021,12/13/2021,1/9/2022,784.01,Australia Pacific,Mid,Lead,FALSE
a734U000000tMOuQAM,11/16/2021,11/19/2021,1/9/2022,338,North America,SMB,Lead,FALSE
a734U000000tLbJQAU,12/8/2021,1/6/2022,1/9/2022,198,North America,SMB,Trial,FALSE
a734U000000tMNIQA2,12/10/2021,1/5/2022,1/9/2022,178,North America,Agency,Trial,FALSE
a734U000000tMDXQA2,12/10/2021,1/31/2022,1/9/2022,169,Europe,Agency,Trial,FALSE
a734U000000tMSrQAM,12/10/2021,1/6/2022,1/9/2022,169,North America,Agency,Trial,FALSE
a734U000000tMU9QAM,12/10/2021,12/14/2021,1/9/2022,169,North America,SMB,Trial,FALSE
a734U000000tM96QAE,12/10/2021,1/5/2022,1/9/2022,169,Latin America,Mid,Trial,FALSE
a734U000000tMC0QAM,12/10/2021,12/14/2021,1/9/2022,99,Australia Pacific,SMB,Trial,FALSE
a734U000000tJFfQAM,12/2/2021,12/28/2021,1/9/2022,99,North America,SMB,Trial,FALSE
a734U000000tVjSQAU,12/8/2021,12/14/2021,1/10/2022,5175.89,North America,SMB,Lead,FALSE
a734U000000tWhNQAU,10/11/2021,10/13/2021,1/10/2022,2500,North America,SMB,Lead,FALSE
a734U000000tMRAQA2,12/10/2021,12/29/2021,1/10/2022,1048,North America,SMB,Trial,FALSE
a734U000000tJZpQAM,12/3/2021,12/29/2021,1/10/2022,845,North America,Mid,Trial,FALSE
a734U000000tPddQAE,10/14/2021,10/14/2021,1/10/2022,839.91,Australia Pacific,Mid,BDR,TRUE
a734U000000tWgFQAU,1/7/2022,1/10/2022,1/10/2022,498,North America,Mid,Self-Gen,TRUE
a734U000000tLycQAE,12/9/2021,1/10/2022,1/10/2022,338,North America,SMB,Trial,FALSE
a734U000000tNluQAE,12/14/2021,1/7/2022,1/10/2022,298,North America,Enterprise,Trial,FALSE
a734U000000tDRGQA2,11/18/2021,1/10/2022,1/10/2022,297,Europe,SMB,Trial,FALSE
a734U000000tENoQAM,11/20/2021,1/11/2022,1/10/2022,279,Europe,SMB,Trial,FALSE
a734U000000tM5JQAU,12/3/2021,12/9/2021,1/10/2022,279,North America,Mid,Lead,FALSE
a734U000000tVJtQAM,1/3/2022,1/4/2022,1/10/2022,276,North America,SMB,Lead,FALSE
a734U000000tMTQQA2,12/10/2021,12/15/2021,1/10/2022,275,North America,SMB,Trial,FALSE
a734U000000tMSXQA2,12/10/2021,1/31/2022,1/10/2022,198,North America,SMB,Trial,FALSE
a734U000000tMOkQAM,12/10/2021,1/10/2022,1/10/2022,178,North America,SMB,Trial,FALSE
a734U000000t5RNQAY,10/28/2021,11/3/2021,1/10/2022,169,North America,SMB,Trial,FALSE
a734U000000tMHKQA2,12/10/2021,12/15/2021,1/10/2022,169,Asia,Agency,Trial,FALSE
a734U000000tIl6QAE,12/1/2021,12/2/2021,1/10/2022,169,North America,Mid,Trial,FALSE
a734U000000sw4yQAA,10/5/2021,1/13/2022,1/10/2022,169,North America,SMB,Trial,FALSE
a734U000000tM4zQAE,12/9/2021,1/26/2022,1/10/2022,149,Asia,SMB,Trial,FALSE
a734U000000tM6MQAU,12/9/2021,1/11/2022,1/10/2022,149,North America,Enterprise,Trial,FALSE
a734U000000tD4RQAU,11/17/2021,1/31/2022,1/10/2022,99,North America,SMB,Trial,FALSE
a734U000000tHS8QAM,11/29/2021,1/10/2022,1/10/2022,99,Europe,SMB,Trial,FALSE
a734U000000tGOtQAM,11/25/2021,1/20/2022,1/10/2022,99,Middle East,SMB,Trial,FALSE
a734U000000tFBeQAM,11/22/2021,1/10/2022,1/10/2022,89,North America,Mid,Trial,FALSE
a734U000000tVgJQAU,1/5/2022,1/7/2022,1/10/2022,79.2,North America,SMB,Lead,FALSE
a734U000000tXKeQAM,1/3/2022,1/3/2022,1/11/2022,799,North America,SMB,Self-Gen,TRUE
a734U000000tWlFQAU,12/20/2021,12/22/2021,1/11/2022,300,North America,Agency,Lead,FALSE
a734U000000tVhvQAE,1/4/2022,1/7/2022,1/11/2022,298,North America,Agency,Lead,FALSE
a734U000000tMpvQAE,12/12/2021,1/31/2022,1/11/2022,279,Middle East,Agency,Trial,FALSE
a734U000000tItyQAE,12/2/2021,1/26/2022,1/11/2022,169,Asia,Mid,Trial,FALSE
a734U000000t2OVQAY,10/21/2021,1/26/2022,1/11/2022,169,Asia,Mid,Trial,FALSE
a734U000000tI76QAE,10/20/2021,10/29/2021,1/11/2022,169,North America,Agency,Lead,FALSE
a734U000000tMqUQAU,12/12/2021,1/5/2022,1/11/2022,169,Europe,SMB,Trial,FALSE
a734U000000tF6ZQAU,11/22/2021,12/20/2021,1/11/2022,149,North America,SMB,Trial,FALSE
a734U000000tKraQAE,12/7/2021,1/11/2022,1/11/2022,149,Europe,SMB,Trial,FALSE
a734U000000tMUiQAM,12/6/2021,12/8/2021,1/11/2022,99,North America,SMB,Lead,FALSE
a734U000000tLZcQAM,1/11/2022,1/11/2022,1/11/2022,99,North America,Enterprise,Trial,FALSE
a734U000000tNbGQAU,11/1/2021,11/10/2021,1/12/2022,2599.01,Europe,Mid,Lead,FALSE
a734U000000tLwHQAU,12/9/2021,12/9/2021,1/12/2022,2509,North America,SMB,Trial,FALSE
a734U000000t5DGQAY,10/28/2021,10/28/2021,1/12/2022,1859.01,North America,SMB,Trial,FALSE
a734U000000tU8GQAU,12/6/2021,12/15/2021,1/12/2022,1239,North America,Mid,Lead,FALSE
a734U000000sj26QAA,12/13/2021,12/13/2021,1/12/2022,298,North America,Enterprise,Lead,FALSE
a734U000000tNJRQA2,12/13/2021,12/20/2021,1/12/2022,298,North America,Agency,BDR,TRUE
a734U000000tL4UQAU,12/7/2021,1/12/2022,1/12/2022,198,North America,SMB,Trial,FALSE
a734U000000tJ8ZQAU,12/2/2021,1/11/2022,1/12/2022,198,Europe,SMB,Trial,FALSE
a734U000000tNDEQA2,12/13/2021,1/19/2022,1/12/2022,194,North America,SMB,Trial,FALSE
a734U000000tXZeQAM,1/12/2022,1/12/2022,1/12/2022,174,Europe,SMB,Trial,FALSE
a734U000000tMUYQA2,12/10/2021,1/20/2022,1/12/2022,169,North America,SMB,Trial,FALSE
a734U000000tN7pQAE,12/13/2021,12/16/2021,1/12/2022,169,Middle East,SMB,Trial,FALSE
a734U000000tBbxQAE,11/14/2021,12/28/2021,1/12/2022,169,North America,Agency,Trial,FALSE
a734U000000tNIiQAM,12/13/2021,1/11/2022,1/12/2022,149,North America,Agency,Trial,FALSE
a734U000000tNCGQA2,12/13/2021,1/14/2022,1/12/2022,149,North America,Enterprise,Trial,FALSE
a734U000000tITMQA2,11/10/2021,11/30/2021,1/12/2022,149,Europe,SMB,Lead,FALSE
a734U000000tNC6QAM,12/13/2021,12/13/2021,1/12/2022,149,North America,SMB,Trial,FALSE
a734U000000tLcMQAU,12/8/2021,12/10/2021,1/12/2022,145,Latin America,SMB,Trial,FALSE
a734U000000t0ByQAI,10/15/2021,1/12/2022,1/12/2022,129,Europe,SMB,Trial,FALSE
a734U000000tNJWQA2,12/13/2021,12/27/2021,1/12/2022,99,North America,SMB,Trial,FALSE
a734U000000tIJCQA2,12/1/2021,1/12/2022,1/12/2022,99,North America,SMB,Trial,FALSE
a734U000000tNHBQA2,12/13/2021,1/12/2022,1/12/2022,99,North America,Enterprise,BDR,TRUE
a734U000000tNDiQAM,12/13/2021,1/4/2022,1/12/2022,99,Europe,SMB,Trial,FALSE
a734U000000tLomQAE,12/9/2021,1/18/2022,1/12/2022,89,Europe,SMB,Trial,FALSE
a734U000000tNC1QAM,12/9/2021,12/10/2021,1/12/2022,89,North America,SMB,BDR,TRUE
a734U000000tYS5QAM,11/16/2021,11/16/2021,1/13/2022,3722.4,North America,Mid,Self-Gen,TRUE
a734U0000014aTzQAI,12/10/2019,12/10/2019,1/13/2022,2882.94,North America,Enterprise,Self-Gen,TRUE
a734U000000tIarQAE,12/1/2021,1/13/2022,1/13/2022,2794.92,Europe,Mid,Trial,FALSE
a734U000000tL7YQAU,8/23/2021,8/25/2021,1/13/2022,849,North America,Agency,Trial,FALSE
a734U000000t37WQAQ,10/22/2021,10/28/2021,1/13/2022,598.72,North America,SMB,Trial,FALSE
a734U000000tSQNQA2,5/12/2021,5/19/2021,1/13/2022,596.02,North America,Mid,BDR,TRUE
a734U000000tXzrQAE,11/24/2021,12/1/2021,1/13/2022,558,North America,Enterprise,Lead,FALSE
a734U000000tMifQAE,12/12/2021,1/26/2022,1/13/2022,558,Asia,SMB,Trial,FALSE
a734U000000tNqaQAE,12/14/2021,1/24/2022,1/13/2022,338,North America,SMB,Trial,FALSE
a734U000000tNqVQAU,12/14/2021,1/3/2022,1/13/2022,338,North America,SMB,Trial,FALSE
a734U000000tNoAQAU,12/8/2021,12/10/2021,1/13/2022,338,North America,Mid,Lead,FALSE
a734U000000tHJ1QAM,11/19/2021,11/22/2021,1/13/2022,209,Australia Pacific,Agency,Lead,FALSE
a734U000000tLI7QAM,12/8/2021,1/26/2022,1/13/2022,198,Asia,SMB,Trial,FALSE
a734U000000tKYOQA2,12/6/2021,12/8/2021,1/13/2022,169,North America,Mid,Trial,FALSE
a734U000000tNIdQAM,12/13/2021,1/13/2022,1/13/2022,169,North America,SMB,Trial,FALSE
a734U000000tNfXQAU,12/14/2021,1/31/2022,1/13/2022,169,Europe,Agency,Trial,FALSE
a734U000000tCNwQAM,11/16/2021,1/13/2022,1/13/2022,169,Middle East,SMB,Trial,FALSE
a734U000000tNTlQAM,12/14/2021,1/13/2022,1/13/2022,169,North America,SMB,Trial,FALSE
a734U000000tD4CQAU,11/17/2021,11/29/2021,1/13/2022,169,North America,SMB,Trial,FALSE
a734U000000tVFhQAM,1/6/2022,1/11/2022,1/13/2022,169,North America,SMB,Trial,FALSE
a734U000000tNteQAE,12/14/2021,1/11/2022,1/13/2022,169,North America,SMB,Trial,FALSE
a734U000000tHIrQAM,11/29/2021,1/21/2022,1/13/2022,169,Australia Pacific,Mid,Trial,FALSE
a734U000000tLReQAM,12/8/2021,1/13/2022,1/13/2022,169,North America,SMB,Trial,FALSE
a734U000000tNTbQAM,12/14/2021,1/11/2022,1/13/2022,169,North America,SMB,Trial,FALSE
a734U000000tNqBQAU,12/14/2021,12/28/2021,1/13/2022,149,North America,SMB,Trial,FALSE
a734U000000tJcUQAU,12/3/2021,1/3/2022,1/13/2022,149,North America,SMB,Trial,FALSE
a734U000000tNuDQAU,12/14/2021,12/15/2021,1/13/2022,149,North America,Enterprise,Trial,FALSE
